Location,Site,Salinity,Turbid_Level1,Turbid_Level,Sal_Turb,Turbid_Level1,Turbidiy,Date,Bottle,Plate,Time_point,Time_day,Volume_mL,Raw_Count,Staph_CFU_100mL
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,6/23/22,1,2,t1,0.5,1,21,2100
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,6/23/22,1,3,t1,0.5,1,20,2000
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,6/23/22,1,4,t1,0.5,1,15,1500
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,6/23/22,1,5,t1,0.5,1,13,1300
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,6/23/22,1,6,t1,0.5,1,16,1600
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,6/23/22,2,1,t1,0.5,1,40,4000
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,6/23/22,2,2,t1,0.5,1,47,4700
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,6/23/22,2,3,t1,0.5,1,34,3400
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,6/23/22,2,4,t1,0.5,1,46,4600
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,6/23/22,2,5,t1,0.5,1,36,3600
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,6/23/22,2,6,t1,0.5,1,38,3800
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,6/23/22,3,1,t1,0.5,1,46,4600
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,6/23/22,3,2,t1,0.5,1,64,6400
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,6/23/22,3,3,t1,0.5,1,54,5400
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,6/23/22,3,4,t1,0.5,1,25,2500
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,6/23/22,3,5,t1,0.5,1,18,1800
Kaha_HT,6,Brackish,High,High,Brackish-High,High,800,6/23/22,3,6,t1,0.5,1,30,3000
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,6/23/22,1,1,t1,0.5,5,724,14480
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,6/23/22,1,2,t1,0.5,5,1144,22880
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,6/23/22,1,3,t1,0.5,5,712,14240
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,6/23/22,1,4,t1,0.5,5,960,19200
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,6/23/22,1,5,t1,0.5,5,892,17840
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,6/23/22,1,6,t1,0.5,5,420,8400
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,6/23/22,2,1,t1,0.5,5,174,3480
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,6/23/22,2,2,t1,0.5,5,133,2660
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,6/23/22,2,3,t1,0.5,5,199,3980
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,6/23/22,2,4,t1,0.5,5,42,840
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,6/23/22,2,5,t1,0.5,5,192,3840
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,6/23/22,2,6,t1,0.5,5,124,2480
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,6/23/22,3,1,t1,0.5,5,166,3320
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,6/23/22,3,2,t1,0.5,5,237,4740
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,6/23/22,3,3,t1,0.5,5,144,2880
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,6/23/22,3,4,t1,0.5,5,25,500
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,6/23/22,3,5,t1,0.5,5,181,3620
Kaha_LT,4,Brackish,Low,Low,Brackish-Low,Low,1.33,6/23/22,3,6,t1,0.5,5,143,2860
Kaha_MT,5,Brackish,Intermediate,Intermediate,Brackish-Intermediate,Intermediate,66.5,6/23/22,1,1,t1,0.5,5,100,2000
Kaha_MT,5,Brackish,Intermediate,Intermediate,Brackish-Intermediate,Intermediate,66.5,6/23/22,1,2,t1,0.5,5,132,2640
Kaha_MT,5,Brackish,Intermediate,Intermediate,Brackish-Intermediate,Intermediate,66.5,6/23/22,1,3,t1,0.5,5,112,2240
Kaha_MT,5,Brackish,Intermediate,Intermediate,Brackish-Intermediate,Intermediate,66.5,6/23/22,1,4,t1,0.5,5,148,2960
Kaha_MT,5,Brackish,Intermediate,Intermediate,Brackish-Intermediate,Intermediate,66.5,6/23/22,1,5,t1,0.5,5,288,5760
Kaha_MT,5,Brackish,Intermediate,Intermediate,Brackish-Intermediate,Intermediate,66.5,6/23/22,1,6,t1,0.5,5,148,2960
Kaha_MT,5,Brackish,Intermediate,Intermediate,Brackish-Intermediate,Intermediate,66.5,6/23/22,2,1,t1,0.5,5,130,2600
Kaha_MT,5,Brackish,Intermediate,Intermediate,Brackish-Intermediate,Intermediate,66.5,6/23/22,2,2,t1,0.5,5,57,1140
Kaha_MT,5,Brackish,Intermediate,Intermediate,Brackish-Intermediate,Intermediate,66.5,6/23/22,2,3,t1,0.5,5,92,1840
Kaha_MT,5,Brackish,Intermediate,Intermediate,Brackish-Intermediate,Intermediate,66.5,6/23/22,2,4,t1,0.5,5,79,1580
Kaha_MT,5,Brackish,Intermediate,Intermediate,Brackish-Intermediate,Intermediate,66.5,6/23/22,2,5,t1,0.5,5,113,2260
Kaha_MT,5,Brackish,Intermediate,Intermediate,Brackish-Intermediate,Intermediate,66.5,6/23/22,2,6,t1,0.5,5,90,1800
Kaha_MT,5,Brackish,Intermediate,Intermediate,Brackish-Intermediate,Intermediate,66.5,6/23/22,3,1,t1,0.5,5,166,3320
Kaha_MT,5,Brackish,Intermediate,Intermediate,Brackish-Intermediate,Intermediate,66.5,6/23/22,3,2,t1,0.5,5,85,1700
Kaha_MT,5,Brackish,Intermediate,Intermediate,Brackish-Intermediate,Intermediate,66.5,6/23/22,3,3,t1,0.5,5,208,4160
Kaha_MT,5,Brackish,Intermediate,Intermediate,Brackish-Intermediate,Intermediate,66.5,6/23/22,3,4,t1,0.5,5,67,1340
Kaha_MT,5,Brackish,Intermediate,Intermediate,Brackish-Intermediate,Intermediate,66.5,6/23/22,3,5,t1,0.5,5,115,2300
Kaha_MT,5,Brackish,Intermediate,Intermediate,Brackish-Intermediate,Intermediate,66.5,6/23/22,3,6,t1,0.5,5,98,1960
Loi,1,Fresh,High,High,Fresh-High,High,401,6/15/22,1,2,t1,1,5,316,6320
Loi,1,Fresh,High,High,Fresh-High,High,401,6/15/22,1,3,t1,1,5,684,13680
Loi,1,Fresh,High,High,Fresh-High,High,401,6/15/22,1,4,t1,1,5,420,8400
Loi,1,Fresh,High,High,Fresh-High,High,401,6/15/22,1,5,t1,1,5,460,9200
Loi,1,Fresh,High,High,Fresh-High,High,401,6/15/22,1,6,t1,1,5,312,6240
Loi,1,Fresh,High,High,Fresh-High,High,401,6/15/22,2,1,t1,1,5,208,4160
Loi,1,Fresh,High,High,Fresh-High,High,401,6/15/22,2,2,t1,1,5,136,2720
Loi,1,Fresh,High,High,Fresh-High,High,401,6/15/22,2,3,t1,1,5,240,4800
Loi,1,Fresh,High,High,Fresh-High,High,401,6/15/22,2,5,t1,1,5,76,1520
Loi,1,Fresh,High,High,Fresh-High,High,401,6/15/22,2,6,t1,1,5,72,1440
Loi,1,Fresh,High,High,Fresh-High,High,401,6/15/22,3,1,t1,1,5,360,7200
Loi,1,Fresh,High,High,Fresh-High,High,401,6/15/22,3,2,t1,1,5,448,8960
Loi,1,Fresh,High,High,Fresh-High,High,401,6/15/22,3,3,t1,1,5,196,3920
Loi,1,Fresh,High,High,Fresh-High,High,401,6/15/22,3,4,t1,1,5,212,4240
Loi,1,Fresh,High,High,Fresh-High,High,401,6/15/22,3,5,t1,1,5,608,12160
Loi,1,Fresh,High,High,Fresh-High,High,401,6/15/22,3,6,t1,1,5,396,7920
Loi,1,Fresh,High,High,Fresh-High,High,401,6/15/22,1,1,t1,1,5,460,9200
Loi,1,Fresh,High,High,Fresh-High,High,401,6/15/22,2,4,t1,1,5,88,1760
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/15/22,1,1,t1,1,5,45,900
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/15/22,2,5,t1,1,5,46,920
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/15/22,2,6,t1,1,5,132,2640
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/15/22,3,1,t1,1,5,24,480
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/15/22,3,2,t1,1,5,23,460
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/15/22,3,3,t1,1,5,31,620
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/15/22,3,4,t1,1,5,12,240
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/15/22,3,5,t1,1,5,25,500
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/15/22,3,6,t1,1,5,34,680
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/15/22,2,4,t1,1,5,51,1020
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/15/22,1,2,t1,1,5,18,360
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/15/22,1,3,t1,1,5,32,640
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/15/22,1,4,t1,1,5,33,660
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/15/22,1,5,t1,1,5,34,680
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/15/22,1,6,t1,1,5,65,1300
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/15/22,2,1,t1,1,5,188,3760
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/15/22,2,2,t1,1,5,70,1400
Pipe,2,Fresh,Low,Low,Fresh-Low,Low,5.62,6/15/22,2,3,t1,1,5,52,1040
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/15/22,1,2,t1,1,5,16,320
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/15/22,1,3,t1,1,5,59,1180
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/15/22,1,4,t1,1,5,23,460
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/15/22,1,5,t1,1,5,9,180
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/15/22,1,6,t1,1,5,6,120
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/15/22,2,1,t1,1,5,45,900
Ulu,3,Fresh,Low,Low,Fresh-Low,Low,5.42,6/15/22,2,2,t1,1,5,20,400
